# Ef_eV: 0.0
# A_cell_A2: 100.0
E_eV,T_total
0.026249999999999996,0.0009084748717218074
0.02749999999999997,0.0009404250090164296
0.028750000000000053,0.0009735171379247146
0.030000000000000027,0.0010077926807636154
0.03125,0.001043294580325983
0.03249999999999997,0.0010800673561707922
0.03375000000000006,0.00111815716301351
0.03500000000000003,0.0011576118512964671
0.036250000000000004,0.0011984810300224207
0.03749999999999998,0.0012408161319378047
0.03875000000000006,0.0012846704811558622
0.040000000000000036,0.0013300993633135016
0.04125000000000001,0.0013771600983598085
0.04249999999999998,0.0014259121160781233
0.04375000000000007,0.0014764170344481505
0.04500000000000004,0.0015287387409590382
0.04625000000000001,0.0015829434769893697
0.04749999999999999,0.0016390999253749804
0.04874999999999996,0.0016972793012910888
0.050000000000000044,0.0017575554465808947
0.05125000000000002,0.0018200049276688485
0.05249999999999999,0.0018847071372033774
0.053749999999999964,0.0019517443995804376
0.05500000000000005,0.0020212020805067663
0.05625000000000002,0.0020931687007692285
0.057499999999999996,0.002167736054385005
0.05874999999999997,0.0022449993313159106
0.06000000000000005,0.0023250572449396464
0.06125000000000003,0.0024080121644805535
0.0625,0.002493970252613197
0.06374999999999997,0.002583041608463296
0.06500000000000006,0.0026753404162428262
0.06625000000000003,0.0027709850997689783
0.0675,0.002870098483130842
0.06874999999999998,0.002972807957782397
0.07000000000000006,0.0030792456563567498
0.07125000000000004,0.003189548633513738
0.07250000000000001,0.0033038590541518914
0.07374999999999998,0.0034223243893355478
0.07500000000000007,0.0035450976203100053
0.07625000000000004,0.0036723374510007336
0.07750000000000001,0.0038042085294183866
0.07874999999999999,0.003940881678418307
0.07999999999999996,0.004082534136293441
0.08125000000000004,0.004229349807711461
0.08250000000000002,0.004381519525541902
0.08374999999999999,0.004539241324157274
0.08499999999999996,0.004702720724832989
0.08625000000000005,0.00487217103391615
0.08750000000000002,0.005047813654481835
0.08875,0.005229878412249036
0.08999999999999997,0.005418603896586006
0.09125000000000005,0.005614237817498544
0.09250000000000003,0.0058170373795635895
0.09375,0.0060272696738465775
0.09499999999999997,0.0062452120889231804
0.09625000000000006,0.006471152742217248
0.09750000000000003,0.006705390932965776
0.09875,0.006948237618231089
0.09999999999999998,0.00720001591349955
0.10125000000000006,0.007461061619538208
0.10250000000000004,0.007731723777325047
0.10375000000000001,0.008012365253028318
0.10499999999999998,0.008303363355185249
0.10625000000000007,0.00860511048642483
0.10750000000000004,0.008918014832292818
0.10875000000000001,0.009242501089973916
0.10999999999999999,0.009579011239967137
0.11124999999999996,0.009928005364060868
0.11250000000000004,0.01028996251327531
0.11375000000000002,0.010665381629796822
0.11499999999999999,0.01105478252732629
0.11624999999999996,0.011458706934704377
0.11750000000000005,0.011877719608170165
0.11875000000000002,0.012312409518158363
0.12,0.012763391117156013
0.12124999999999997,0.013231305695825854
0.12250000000000005,0.013716822835376098
0.12375000000000003,0.014220641965021347
0.125,0.014743494034354352
0.12624999999999997,0.015286143311544306
0.12750000000000006,0.015849389319517432
0.12875000000000003,0.016434068923675178
0.13,0.01704105858629333
0.13124999999999998,0.017671276804545586
0.13250000000000006,0.018325686751146052
0.13375000000000004,0.019005299138940588
0.135,0.01971117533344872
0.13624999999999998,0.02044443074041398
0.13750000000000007,0.021206238498933983
0.13875000000000004,0.021997833514782517
0.14,0.022820516873202537
0.14125,0.023675660675846186
0.14249999999999996,0.024564713352807886
0.14375000000000004,0.02548920550799047
0.14500000000000002,0.026450756364565956
0.14625,0.027451080887276408
0.14749999999999996,0.028491997670055547
0.14875000000000005,0.029575437691301547
0.15000000000000002,0.03070345405552953
0.15125,0.03187823285963184
0.15249999999999997,0.03310210534524625
0.15375000000000005,0.034377561526640406
